date	status	artifact
2026-05-28	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-05-28-v3-benchmark.json
2026-05-29	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-05-29-v3-benchmark.json
2026-05-30	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-05-30-v3-benchmark.json
2026-05-31	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-05-31-v3-benchmark.json
2026-06-01	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-01-v3-benchmark.json
2026-06-02	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-02-v3-benchmark.json
2026-06-03	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-03-v3-benchmark.json
2026-06-04	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-04-v3-benchmark.json
2026-06-05	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-05-v3-benchmark.json
2026-06-06	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-06-v3-benchmark.json
2026-06-07	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-07-v3-benchmark.json
2026-06-08	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-08-v3-benchmark.json
2026-06-09	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-09-v3-benchmark.json
2026-06-10	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-10-v3-benchmark.json
2026-06-11	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-11-v3-benchmark.json
2026-06-12	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-12-v3-benchmark.json
2026-06-13	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-13-v3-benchmark.json
2026-06-14	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-14-v3-benchmark.json
2026-06-15	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-15-v3-benchmark.json
2026-06-16	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-16-v3-benchmark.json
2026-06-17	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-17-v3-benchmark.json
2026-06-18	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-18-v3-benchmark.json
2026-06-19	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-19-v3-benchmark.json
2026-06-20	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-20-v3-benchmark.json
2026-06-21	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-21-v3-benchmark.json
2026-06-22	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-22-v3-benchmark.json
2026-06-23	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-23-v3-benchmark.json
2026-06-26	success	/Users/jamiepearcey/projects/research/news-narrative-explainer/v3/results/2026-06-26-v3-benchmark.json
